store,category,mid_category,product_id,name,price,discount,url
Spar,sadje in zelenjava,sveza zelenjava,438826,"ŠPINAČA SPAR, 500G; Sveža, očiščena, oprana špinača.","1,99 €",,https://www.spar.si/online/spinaca-spar-500g/p/438826
Spar,sadje in zelenjava,sveza zelenjava,492054,"ŠAMPINJONI SPAR, 500G","2,49 €",,https://www.spar.si/online/sampinjoni-spar-500g/p/492054
Spar,sadje in zelenjava,sveza zelenjava,503052,"KROMPIR ZA PEČENJE SPAR, 2,5KG","3,49 €",,https://www.spar.si/online/krompir-za-pecenje-spar-25kg/p/503052
Spar,sadje in zelenjava,sveza zelenjava,521567,"ČEBULA SPAR, 1,5KG","1,59 €",,https://www.spar.si/online/cebula-spar-15kg/p/521567
Spar,sadje in zelenjava,sveza zelenjava,481706,"KISLO ZELJE ZA SARMO, SPAR, 1KG; Naravno kisano.","2,98 €",,https://www.spar.si/online/kislo-zelje-za-sarmo-spar-1kg/p/481706
Spar,sadje in zelenjava,sveza zelenjava,521567,"ČEBULA SPAR, 1,5KG","1,59 €",,https://www.spar.si/online/cebula-spar-15kg/p/521567
Spar,sadje in zelenjava,sveza zelenjava,541242,"ČESEN SPAR, 200G","2,49 €",,https://www.spar.si/online/cesen-spar-200g/p/541242
Spar,sadje in zelenjava,sveza zelenjava,525528,"RDEČA ČEBULA, SPAR, 1 KG","1,49 €",,https://www.spar.si/online/rdeca-cebula-spar-1-kg/p/525528
Spar,sadje in zelenjava,sveza zelenjava,484994,"BIO ČESEN SPAR NATUR*PUR, 250G","3,49 €",,https://www.spar.si/online/bio-cesen-spar-naturpur-250g/p/484994
Spar,sadje in zelenjava,sveza zelenjava,483852,"BIO POR SPAR NATUR*PUR, 300G, PAKIRANO","3,19 €",,https://www.spar.si/online/bio-por-spar-naturpur-300g-pakirano/p/483852
Spar,sadje in zelenjava,sveza zelenjava,503052,"KROMPIR ZA PEČENJE SPAR, 2,5KG","3,49 €",,https://www.spar.si/online/krompir-za-pecenje-spar-25kg/p/503052
Spar,sadje in zelenjava,sveza zelenjava,434006,"KROMPIR SPAR, 3,5KG","2,99 €","REDNA CENA 4,29 €",https://www.spar.si/online/krompir-spar-35kg/p/434006
Spar,sadje in zelenjava,sveza zelenjava,503033,"KROMPIR ZA KUHANJE, SPAR, 2,5KG","3,49 €",,https://www.spar.si/online/krompir-za-kuhanje-spar-25kg/p/503033
Spar,sadje in zelenjava,sveza zelenjava,641053,"KROMPIR BELI, S-BUDGET, 5KG; Izbran in opran. Ni za saditev!","2,99 €",,https://www.spar.si/online/krompir-beli-s-budget-5kg/p/641053
Spar,sadje in zelenjava,sveza zelenjava,438752,"KROMPIR SLADKI, 1KG","1,99 €",,https://www.spar.si/online/krompir-sladki-1kg/p/438752
Spar,sadje in zelenjava,sveza zelenjava,438826,"ŠPINAČA SPAR, 500G; Sveža, očiščena, oprana špinača.","1,99 €",,https://www.spar.si/online/spinaca-spar-500g/p/438826
Spar,sadje in zelenjava,sveza zelenjava,438811,"RUKOLA SPAR, 100G; Sveža, očiščena, oprana.","1,19 €",,https://www.spar.si/online/rukola-spar-100g/p/438811
Spar,sadje in zelenjava,sveza zelenjava,438816,"SOLATA BERIVKA SPAR, 100G; Sveža, očiščena, oprana.","1,19 €",,https://www.spar.si/online/solata-berivka-spar-100g/p/438816
Spar,sadje in zelenjava,sveza zelenjava,438808,"MOTOVILEC SPAR, 100G; Svež, očiščen in opran.","1,19 €",,https://www.spar.si/online/motovilec-spar-100g/p/438808
Spar,sadje in zelenjava,sveza zelenjava,438819,"MEŠANA SOLATA SPAR, 150G; Sveža, očiščena, oprana.","0,99 €","REDNA CENA 1,29 €",https://www.spar.si/online/mesana-solata-spar-150g/p/438819
Spar,sadje in zelenjava,sveza zelenjava,512096,"KORENJE SPAR, 1KG; Očiščeno, neoprano, pripravljeno za kuhinjsko rabo.","1,49 €",,https://www.spar.si/online/korenje-spar-1kg/p/512096
Spar,sadje in zelenjava,sveza zelenjava,483849,"BIO ZELENA GOMOLJ, SPAR NATUR*PUR, 500G","2,29 €",,https://www.spar.si/online/bio-zelena-gomolj-spar-naturpur-500g/p/483849
Spar,sadje in zelenjava,sveza zelenjava,483850,"BIO PETERŠILJ KORENINA SPAR NATUR*PUR, 300G","2,59 €",,https://www.spar.si/online/bio-petersilj-korenina-spar-naturpur-300g/p/483850
Spar,sadje in zelenjava,sveza zelenjava,483848,"BIO ZELENA LIST SPAR NATUR*PUR, 350G","2,39 €",,https://www.spar.si/online/bio-zelena-list-spar-naturpur-350g/p/483848
Spar,sadje in zelenjava,sveza zelenjava,483822,"BIO KORENJE SPAR NATUR*PUR, 500G","1,59 €",,https://www.spar.si/online/bio-korenje-spar-naturpur-500g/p/483822
Spar,sadje in zelenjava,sveza zelenjava,492054,"ŠAMPINJONI SPAR, 500G","2,49 €",,https://www.spar.si/online/sampinjoni-spar-500g/p/492054
Spar,sadje in zelenjava,sveza zelenjava,492056,"ŠAMPINJONI SPAR, 250G; Sveži, očiščeni, pripravljeni za kuhinjsko uporabo.","1,59 €",,https://www.spar.si/online/sampinjoni-spar-250g/p/492056
Spar,sadje in zelenjava,sveza zelenjava,486528,"MEŠANICA SUHIH GOB Z JURČKI DESPAR, 80G; Povprečna hranilna vrednost na 100g:; Energijska vrednost :1336KJ/317kacl; Maščobe: 2,9g; od tega nasičene maščobe: 1; Ogljikovi hidrati: 43g; od tega...","3,49 €",,https://www.spar.si/online/mesanica-suhih-gob-z-jurcki-despar-80g/p/486528
Spar,sadje in zelenjava,sveza zelenjava,586799,"ŠAMPINJONI RJAVI, S-BUDGET, 500G","1,99 €",,https://www.spar.si/online/sampinjoni-rjavi-s-budget-500g/p/586799
Spar,sadje in zelenjava,sveza zelenjava,379317,"ŠAMPINJONI BELI, S BUDGET, 500G","1,79 €",,https://www.spar.si/online/sampinjoni-beli-s-budget-500g/p/379317
Spar,sadje in zelenjava,sveza zelenjava,553039,"BIO KUMARA DOLGA, SPAR NATUR*PUR, 1/1","1,99 €",,https://www.spar.si/online/bio-kumara-dolga-spar-naturpur-11/p/553039
Spar,sadje in zelenjava,sveza zelenjava,485121,"BIO BUČKE SPAR NATUR*PUR, 500G","2,49 €",,https://www.spar.si/online/bio-bucke-spar-naturpur-500g/p/485121
Spar,sadje in zelenjava,sveza zelenjava,11652,"KUMARE, 1KG","0,90 €","REDNA CENA 1,30 €",https://www.spar.si/online/kumare-1kg/p/11652
Spar,sadje in zelenjava,sveza zelenjava,48200,"BUČKE, 1KG","0,74 €","REDNA CENA 1,00 €",https://www.spar.si/online/bucke-1kg/p/48200
Spar,sadje in zelenjava,sveza zelenjava,296188,"JEDILNA BUČA HOKAIDO, 1KG","3,74 €",,https://www.spar.si/online/jedilna-buca-hokaido-1kg/p/296188
Spar,sadje in zelenjava,sveza zelenjava,481706,"KISLO ZELJE ZA SARMO, SPAR, 1KG; Naravno kisano.","2,98 €",,https://www.spar.si/online/kislo-zelje-za-sarmo-spar-1kg/p/481706
Spar,sadje in zelenjava,sveza zelenjava,547983,"KISLO ZELJE SPAR, 660G","1,79 €",,https://www.spar.si/online/kislo-zelje-spar-660g/p/547983
