store,category,mid_category,product_id,name,price,discount,url
Spar,sadje in zelenjava,sveza zelenjava,438826,Spread 500g,"1,99 €",,https://www.spar.si/online/spinaca-spar-500g/p/438826
Spar,sadje in zelenjava,sveza zelenjava,492054,Pear 500g,"2,49 €",,https://www.spar.si/online/sampinjoni-spar-500g/p/492054
Spar,sadje in zelenjava,sveza zelenjava,503052,Pear 2500g,"3,49 €",,https://www.spar.si/online/krompir-za-pecenje-spar-25kg/p/503052
Spar,sadje in zelenjava,sveza zelenjava,521567,Pear 1500g,"1,59 €",,https://www.spar.si/online/cebula-spar-15kg/p/521567
Spar,sadje in zelenjava,sveza zelenjava,481706,Miso 1000g,"2,98 €",,https://www.spar.si/online/kislo-zelje-za-sarmo-spar-1kg/p/481706
Spar,sadje in zelenjava,sveza zelenjava,521567,Pear 1500g,"1,59 €",,https://www.spar.si/online/cebula-spar-15kg/p/521567
Spar,sadje in zelenjava,sveza zelenjava,541242,Green peas 200g,"2,49 €",,https://www.spar.si/online/cesen-spar-200g/p/541242
Spar,sadje in zelenjava,sveza zelenjava,525528,Cream 1000g,"1,49 €",,https://www.spar.si/online/rdeca-cebula-spar-1-kg/p/525528
Spar,sadje in zelenjava,sveza zelenjava,484994,Green peas 250g,"3,49 €",,https://www.spar.si/online/bio-cesen-spar-naturpur-250g/p/484994
Spar,sadje in zelenjava,sveza zelenjava,483852,Pork 300g,"3,19 €",,https://www.spar.si/online/bio-por-spar-naturpur-300g-pakirano/p/483852
Spar,sadje in zelenjava,sveza zelenjava,503052,Pear 2500g,"3,49 €",,https://www.spar.si/online/krompir-za-pecenje-spar-25kg/p/503052
Spar,sadje in zelenjava,sveza zelenjava,434006,Pear 3500g,"2,99 €","REDNA CENA 4,29 €",https://www.spar.si/online/krompir-spar-35kg/p/434006
Spar,sadje in zelenjava,sveza zelenjava,503033,Pear 2500g,"3,49 €",,https://www.spar.si/online/krompir-za-kuhanje-spar-25kg/p/503033
Spar,sadje in zelenjava,sveza zelenjava,641053,Berries 5000g,"2,99 €",,https://www.spar.si/online/krompir-beli-s-budget-5kg/p/641053
Spar,sadje in zelenjava,sveza zelenjava,438752,Salami 1000g,"1,99 €",,https://www.spar.si/online/krompir-sladki-1kg/p/438752
Spar,sadje in zelenjava,sveza zelenjava,438826,Spread 500g,"1,99 €",,https://www.spar.si/online/spinaca-spar-500g/p/438826
Spar,sadje in zelenjava,sveza zelenjava,438811,Spread 100g,"1,19 €",,https://www.spar.si/online/rukola-spar-100g/p/438811
Spar,sadje in zelenjava,sveza zelenjava,438816,Spread 100g,"1,19 €",,https://www.spar.si/online/solata-berivka-spar-100g/p/438816
Spar,sadje in zelenjava,sveza zelenjava,438808,Parsley 100g,"1,19 €",,https://www.spar.si/online/motovilec-spar-100g/p/438808
Spar,sadje in zelenjava,sveza zelenjava,438819,Spread 150g,"0,99 €","REDNA CENA 1,29 €",https://www.spar.si/online/mesana-solata-spar-150g/p/438819
Spar,sadje in zelenjava,sveza zelenjava,512096,Orange 1000g,"1,49 €",,https://www.spar.si/online/korenje-spar-1kg/p/512096
Spar,sadje in zelenjava,sveza zelenjava,483849,Pear 500g,"2,29 €",,https://www.spar.si/online/bio-zelena-gomolj-spar-naturpur-500g/p/483849
Spar,sadje in zelenjava,sveza zelenjava,483850,Onion 300g,"2,59 €",,https://www.spar.si/online/bio-petersilj-korenina-spar-naturpur-300g/p/483850
Spar,sadje in zelenjava,sveza zelenjava,483848,Pear 350g,"2,39 €",,https://www.spar.si/online/bio-zelena-list-spar-naturpur-350g/p/483848
Spar,sadje in zelenjava,sveza zelenjava,483822,Orange 500g,"1,59 €",,https://www.spar.si/online/bio-korenje-spar-naturpur-500g/p/483822
Spar,sadje in zelenjava,sveza zelenjava,492054,Pear 500g,"2,49 €",,https://www.spar.si/online/sampinjoni-spar-500g/p/492054
